id,facebook_id,page_name,page_type
10094,61457331088,Dr. Helge Braun,politician
10110,287425150452,Volunteer Maryland,government
10117,125061526477,Hans-Joachim Fuchtel,politician
10190,140091366077586,"Christian Goiny, MdA",politician
10240,229865993696537,Oregon Department of Agriculture,government
10241,218434258171162,EU Law and Publications,government
10294,226402156107,AMBER Alert,government
10534,108894722462749,Smithsonian Environmental Research Center,government
10694,148862922200169,Australian High Commission in South Africa,government
10743,184483741596409,הוט תקשורת  HOT,company
10783,147547541961576,Council of the European Union,government
10820,380889561922508,Point de Contact,company
10984,178654278876561,Maryland Department of Commerce,government
11005,389842957729240,Unión Europea en Republica Dominicana,government
11066,100416753335939,Maryland Department of Planning,government
11149,154308617994137,Peter Tauber,politician
11178,490057484500952,Dr. Nicole Hoffmeister-Kraut,politician
11373,217519358313001,Wiko,company
11378,1024827034206773,Manuel Hagel,politician
11439,237835276288758,Maryland Governor's Office on Service & Volunteerism,government
11487,55574168445,Axel  Fischer,politician
11631,148546185168166,Maryland Center for Missing and Unidentified Persons (MCMUP),government
11710,64045221376,Stefan Kaufmann,politician
11721,200969413280005,Shell,company
11797,110316412372719,Maryland.Gov,government
11851,82184406949,CBC Docs,tvshow
12031,119123001761,Salut Bonjour,tvshow
12032,262986640427464,Thomas Strobl,politician
12286,84534791408,Hermann Gröhe,politician
12308,52418678069,Rainer Wieland,politician
12450,517902401572546,European Union in Egypt,government
12516,115676515176276,Arrondissement de Rosemont - La Petite-Patrie,government
12534,134615279898518,Parcs Canada,government
12558,391183280893261,Telefilm Canada,government
12666,533738056683747,Maryland Office of Preparedness and Response,government
12851,150756028355352,Union européenne au Maroc,government
12958,529778320512112,Linda Voortman,politician
13128,140325787269,Bass Pro Shops,company
13247,134970496554973,Columbia Sportswear,company
13267,340325262661652,David McAllister,politician
13272,359203510312,Maryland State Parks,government
13294,107898832590939,European Commission,government
13527,600440106752818,Kordula Kovac,politician
13691,389868724395273,Optimum,company
13758,117378621611470,Technisches Hilfswerk (THW),government
13769,101541096562158,Martine Ouellet,politician
14027,128160970612965,Kingdom of the Netherlands in South Africa,government
14094,191809807557084,German Embassy Pretoria,government
14168,166021496808171,Annegret Kramp-Karrenbauer,politician
14413,640875249313244,Sylvia Pantel,politician
14439,126879227356714,European Union in Ukraine,government
14440,175778159240756,Thorsten Frei,politician
14451,294832427306989,European Union in Hong Kong and Macao,government
14469,159316114122379,Maryland Department of Veterans Affairs,government
14487,240518482732724,Maryland Department of Juvenile Services,government
14551,155538244478837,Bruce Mitchell,tvshow
14650,456082177763485,Manfred Weber,politician
14785,459974514027058,CinéTFO,tvshow
14795,551246314973765,Prof. Dr. Wolfgang Reinhart,politician
15192,305624052903563,Ole Schröder,politician
15249,276450589060929,Maryland Department of Natural Resources Fisheries,government
15301,117796818235335,Maryland Governor's Office of the Deaf and Hard of Hearing,government
15309,150073561755617,Eyes on the Bay,government
15763,574756879250721,Union européenne au Cameroun,government
15871,324914367631613,Maryland Environmental Service,government
15934,368653376538914,GouvCan - Autochtones,government
15980,604810606196550,Maryland Health Connection,government
16131,171993416186074,Maryland Department of Natural Resources,government
16308,152284468263590,Thomas Bareiß,politician
16595,565107070189081,Hermann Färber,politician
16597,30900854703,Survivorman featuring Les Stroud,tvshow
16613,241506685908236,PT Empresas,company
16618,46370758585,Food and Agriculture Organization of the United Nations (FAO),government
16663,10150155272765160,ARTE Philosophie,tvshow
16728,148133088575385,NBC Sports,tvshow
16743,264705513668546,Maryland Department of Natural Resources- Wildlife & Heritage Service,government
16794,286813464805468,European Union in Iraq بعثة الاتحاد الاوروبي في العراق,government
16866,238070186283,Aberdeen Proving Ground,government
16960,158402677555776,European External Action Service - EEAS,government
17209,7945831694,Ben Cardin,politician
17264,266574218667,Schiffer András,politician
17292,348707685189108,Maryland Insurance Administration,government
17327,234198623438426,Maryland Energy Administration,government
17386,172600716216078,EU Interpreters,government
17455,122289311172568,Unión Europea en El Salvador,government
17522,691761057548436,Substance Use Disorders in Maryland,government
17551,136417356400871,Les enfants de la télé,tvshow
17598,196789723777392,European Union in the Philippines,government
17614,147535998601638,Maryland Internet Crimes Against Children Task Force (ICAC),government
17685,298621020195483,Julia Klöckner,politician
17870,467097719983247,Ingo Wellenreuther,politician
17874,50689002652,Lunkerville,tvshow
17979,199020790140341,Maryland Dept. Of The Environment,government
18155,59788447049,Angela Merkel,politician
18162,21278871488,Mountain Dew,company
18220,383840958337134,Josef Rief,politician
18327,121948104610196,Michael Grosse-Brömer,politician
18425,1569218743292563,Ronja Kemmer,politician
18477,607327249290031,Cemile Giousouf,politician
18505,132843033475,Moche,company
18566,752398074880868,Washington State Department of Corrections,government
18577,443886785651,European Union in Russia,government
18708,91454100943,YETI,company
18714,208761842488796,"EU to Barbados, Eastern Caribbean States, the OECS, Caricom & Cariforum",government
18805,169192563136219,Maryland Emergency Management Agency (MEMA),government
18856,168529159903092,European Union in Lebanon,government
18866,36261648288,Pure Michigan,company
18903,329344740481012,European Union in Malaysia,government
18906,206848514040,U.S. National Weather Service (NWS),government
18934,207603665926494,Maryland Transportation Authority (MDTA),government
19041,17901934974,Anthony G. Brown,politician
19161,839410146073291,Alaskan Bush People,tvshow
19177,318902741555960,Bundesamt für Migration und Flüchtlinge - BAMF,government
19290,438925432967015,Deadliest Catch: Dungeon Cove,tvshow
19404,28684115392,Martin O'Malley,politician
19415,456996121009637,EU Delegation to the Council of Europe,government
19483,356711378954,USAID Bangladesh,government
19529,123317111021370,Anja Weisgerber,politician
19603,687496011309020,Jesse Klaver,politician
19660,335292186484865,Delegation of the European Union in Guyana,government
19704,336600869757204,Manon Massé,politician
19743,1191441824276882,The White House,government
19773,147022215373288,Baltimore City Mayor's Office of Employment Development,government
19776,123332714357231,Europäische Kommission – Vertretung in Deutschland,government
19834,194109891221,South African Government,government
19839,116011088601769,TFO 24.7,tvshow
19846,142108089180868,Charles County Government,government
19949,8098079727,ONF,government
19963,177207108627,Maryland Motor Vehicle Administration,government
20015,199282470085784,Anne Arundel County Department of Health,government
20024,90245883058,The Library of Congress,government
20095,1394809747465555,Margaret Horb MdB,politician
20116,166365600212391,Eberhard Gienger,politician
20146,115903301871096,North Carolina Department of Public Safety,government
20245,414175851964162,European Union in Nigeria,government
20308,1535230416709539,Emmanuel Macron,politician
20342,294079634008089,Delegation of the European Union to Libya بعثة الاتحاد الاوروبي في ليبيا,government
20415,741724592531706,Joachim Herrmann,politician
20441,159580370757975,European Union in Belarus,government
20600,34245372756,Balthasar Glättli,politician
20682,291982054190156,União Europeia em Angola / European Union in Angola,government
20796,468102806695310,Assistance SFR,company
20864,227757017263715,Maryland Department of Aging,government
21120,178362315106,European Parliament,government
21140,107671908760,Baltimore City Mayor's Office of Emergency Management,government
21315,100599516754810,Maryland State Highway Administration,government
21351,542962552402896,Maryland Department of Agriculture,government
21388,296489277060163,Judith Sargentini,politician
21406,220406078043261,Department of Public Enterprises,government
21708,367067283779,U.S. Department of State: Bureau of Intl Narcotics & Law Enforcement (INL),government
21729,63811549237,The Obama White House,government
21764,340835129292987,European Union in Vietnam,government
21803,10419173702,Maxime Bernier,politician
21902,540317069343288,Ambassade du Canada en Indonésie et au Timor-Leste,government
21921,172834814572,Peter Altmaier,politician
22187,183583961775415,Dr. Joachim Pfeiffer,politician
22239,1371337792880062,Waldemar Westermayer,politician
22277,182645321760265,Ville de Montréal,government
22367,232561776787179,Ministria e Integrimit Evropian - Ministry of European Integration,government
22417,22429695864,John Sarbanes,politician
